province_state,country_region,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,uid,iso3,testing_rate,hospitalization_rate
Kharkiv Oblast,Ukraine,8/27/20 12:30,49.9935,36.2304,8202,196,3094,4912,,306.5482931,,,2.389661058,80408,UKR,,
Kherson Oblast,Ukraine,8/27/20 12:30,46.6354,32.6169,363,9,247,107,,34.98323118,,,2.479338843,80409,UKR,,
Khmelnytskyi Oblast,Ukraine,8/27/20 12:30,49.423,26.9871,2102,41,1240,821,,166.2047671,,,1.950523311,80410,UKR,,
Kiev,Ukraine,8/27/20 12:30,50.4501,30.5234,12468,178,3975,8315,,422.5294835,,,1.427654796,80411,UKR,,
Kiev Oblast,Ukraine,8/27/20 12:30,50.053,30.7667,5305,91,3507,1707,,300.0667443,,,1.715362865,80412,UKR,,
Kirovohrad Oblast,Ukraine,8/27/20 12:30,48.5079,32.2623,780,45,677,58,,82.49175876,,,5.769230769,80413,UKR,,
Luhansk Oblast,Ukraine,8/27/20 12:30,48.574,39.3078,264,2,167,95,,12.26861006,,,0.757575758,80414,UKR,,
Lviv Oblast,Ukraine,8/27/20 12:30,49.8397,24.0297,13763,374,4061,9328,,545.7131404,,,2.717430793,80415,UKR,,
Mykolaiv Oblast,Ukraine,8/27/20 12:30,46.975,31.9946,1040,22,560,458,,41.23677003,,,2.115384615,80416,UKR,,
Odessa Oblast,Ukraine,8/27/20 12:30,46.4846,30.7326,6537,93,1689,4755,,274.6283254,,,1.42267095,80417,UKR,,
Poltava Oblast,Ukraine,8/27/20 12:30,49.5883,34.5514,695,18,483,194,,49.62729544,,,2.589928058,80418,UKR,,
Rivne Oblast,Ukraine,8/27/20 12:30,50.6199,26.2516,8818,124,6211,2483,,761.9452502,,,1.406214561,80419,UKR,,
Sevastopol*,Ukraine,8/27/20 12:30,44.6054,33.522,473,18,375,80,,106.7211779,,,3.805496829,80420,UKR,,
